Date,Price_10g_hist,Price_10g_mcx,Gold_Price
2020-12-30,44405.38846110566,49881.0,49881.0
2020-12-31,44405.38846110566,50081.0,50081.0
2021-01-01,44405.38846110566,50081.0,50081.0
2021-01-04,45672.480589001236,51349.0,51349.0
2021-01-05,45635.282202967515,51456.0,51456.0
2021-01-06,45435.14395486039,50545.0,50545.0
2021-01-07,45347.983345925706,50918.0,50918.0
2021-01-08,43940.93912260679,49035.0,49035.0
2021-01-11,43645.24892696964,49386.0,49386.0
2021-01-12,43369.877988007785,49098.0,49098.0
2021-01-13,43671.83757454949,49354.0,49354.0
2021-01-14,43243.10768884531,49238.0,49238.0
2021-01-15,43240.31057598019,48745.0,48745.0
2021-01-18,43135.885029016026,48918.0,48918.0
2021-01-19,43153.08566560034,49011.0,49011.0
2021-01-20,43530.56729950005,49528.0,49528.0
2021-01-21,43688.7488546305,49418.0,49418.0
2021-01-22,43480.3478708184,49131.0,49131.0
2021-01-25,43578.95413699422,49144.0,49144.0
2021-01-26,43573.070554760714,,43573.070554760714
2021-01-27,43275.837124439364,48879.0,48879.0
2021-01-28,43464.78692108605,48672.0,48672.0
2021-01-29,43674.05597440803,49111.0,49111.0
2021-02-01,43835.19539601653,48424.0,48424.0
2021-02-02,43005.288793865635,47752.0,47752.0
2021-02-03,42977.73562460816,47703.0,47703.0
2021-02-04,41902.03674827592,46695.0,46695.0
2021-02-05,42207.018502740844,46978.0,46978.0
2021-02-08,43020.14242770107,47726.0,47726.0
2021-02-09,43098.1722314209,47818.0,47818.0
2021-02-10,43151.18877296767,47863.0,47863.0
2021-02-11,43016.220039545384,47377.0,47377.0
2021-02-12,42386.67674055974,47169.0,47169.0
2021-02-15,42441.17221534554,47118.0,47118.0
2021-02-16,42036.10526146575,46777.0,46777.0
2021-02-17,41678.97503496391,46134.0,46134.0
2021-02-18,41410.77370713907,46046.0,46046.0
2021-02-19,41716.23772244281,46095.0,46095.0
2021-02-22,42104.93995852557,46782.0,46782.0
2021-02-23,41915.54005176266,46632.0,46632.0
2021-02-24,41605.574935296674,46369.0,46369.0
2021-02-25,41656.405227707495,46085.0,46085.0
2021-02-26,41405.69389297024,45569.0,45569.0
2021-03-01,40908.00070731589,45021.0,45021.0
2021-03-02,40619.57657498353,45224.0,45224.0
2021-03-03,40147.08955583777,44721.0,44721.0
2021-03-04,40087.80362338643,44581.0,44581.0
2021-03-05,39922.388155673805,44442.0,44442.0
2021-03-08,39787.22651791599,44233.0,44233.0
2021-03-09,40213.995209542336,44844.0,44844.0
2021-03-10,40145.1926632051,44774.0,44774.0
2021-03-11,40319.22452457119,44876.0,44876.0
